category,item_code
G0531,4140.01
G0544,4140.01
G0570,4140.01
G0643,4140.01
G0649,4140.01
G0806,4140.01
G0008,4140.011
G0033,4140.011
G0037,4140.011
G0042,4140.011
G0084,4140.011
G0122,4140.011
G0132,4140.011
G0207,4140.011
G0531,4140.011
G0544,4140.011
G0570,4140.011
G0643,4140.011
G0650,4140.011
G0806,4140.011
G0008,4140.012
G0033,4140.012
G0037,4140.012
G0042,4140.012
G0082,4140.012
G0122,4140.012
G0132,4140.012
G0207,4140.012
G0544,4140.012
G0570,4140.012
G0643,4140.012
G0004,4140.013
G0033,4140.013
G0039,4140.013
G0042,4140.013
G0091,4140.013
G0122,4140.013
G0132,4140.013
G0211,4140.013
G0531,4140.013
G0544,4140.013
G0570,4140.013
G0646,4140.013
G0806,4140.013
G0033,4140.019
G0042,4140.019
G0061,4140.019
G0083,4140.019
G0122,4140.019
G0132,4140.019
G0531,4140.019
G0544,4140.019
G0570,4140.019
G0643,4140.019
G0652,4140.019
G0806,4140.019
G0008,4140.02
G0033,4140.02
G0037,4140.02
G0042,4140.02
G0122,4140.02
G0132,4140.02
G0165,4140.02
G0207,4140.02
G0549,4140.02
G0570,4140.02
G0643,4140.02
G0889,4140.02
G0033,4140.021
G0037,4140.021
G0042,4140.021
G0122,4140.021
G0132,4140.021
G0165,4140.021
G0207,4140.021
G0548,4140.021
G0570,4140.021
G0643,4140.021
G0887,4140.021
G0018,4140.022
G0033,4140.022
G0042,4140.022
G0085,4140.022
G0122,4140.022
G0132,4140.022
G0531,4140.022
G0544,4140.022
G0570,4140.022
G0643,4140.022
G0651,4140.022
G0806,4140.022
G0008,4140.023
G0033,4140.023
G0037,4140.023
G0042,4140.023
G0082,4140.023
G0122,4140.023
G0132,4140.023
G0165,4140.023
G0207,4140.023
G0570,4140.023
G0643,4140.023
G0042,4140.024
G0061,4140.024
G0083,4140.024
G0122,4140.024
G0132,4140.024
G0531,4140.024
G0544,4140.024
G0570,4140.024
G0643,4140.024
G0652,4140.024
G0806,4140.024
G0008,4140.025
G0033,4140.025
G0042,4140.025
G0061,4140.025
G0086,4140.025
G0122,4140.025
G0132,4140.025
G0210,4140.025
G0531,4140.025
G0544,4140.025
G0570,4140.025
G0643,4140.025
G0806,4140.025
G0008,4140.026
G0033,4140.026
G0042,4140.026
G0061,4140.026
G0083,4140.026
G0122,4140.026
G0132,4140.026
G0165,4140.026
G0210,4140.026
G0570,4140.026
G0643,4140.026
G0004,4140.027
G0033,4140.027
G0039,4140.027
G0042,4140.027
G0091,4140.027
G0122,4140.027
G0132,4140.027
G0211,4140.027
G0643,4140.027
G0008,4140.039
G0033,4140.039
G0042,4140.039
G0061,4140.039
G0086,4140.039
G0122,4140.039
G0132,4140.039
G0531,4140.039
G0544,4140.039
G0570,4140.039
G0643,4140.039
G0806,4140.039
G0008,4140.041
G0033,4140.041
G0037,4140.041
G0042,4140.041
G0544,4140.041
G0570,4140.041
G0806,4140.041
G1105,4140.041
G0008,4140.042
G0033,4140.042
G0037,4140.042
G0042,4140.042
G0544,4140.042
G0570,4140.042
G0806,4140.042
G1106,4140.042
G0008,4140.044
G0033,4140.044
G0037,4140.044
G0042,4140.044
G0082,4140.044
G0122,4140.044
G0132,4140.044
G0531,4140.044
G0544,4140.044
G0570,4140.044
G0643,4140.044
G0649,4140.044
G0806,4140.044
G1205,4140.044
G0008,4140.045
G0033,4140.045
G0037,4140.045
G0042,4140.045
G0082,4140.045
G0122,4140.045
G0132,4140.045
G0531,4140.045
G0544,4140.045
G0570,4140.045
G0643,4140.045
G0649,4140.045
G0806,4140.045
G1206,4140.045
G0042,4140.048
G0082,4140.048
G0122,4140.048
G0132,4140.048
G0531,4140.048
G0544,4140.048
G0570,4140.048
G0643,4140.048
G0649,4140.048
G0806,4140.048
G0008,4140.049
G0033,4140.049
G0037,4140.049
G0042,4140.049
G0084,4140.049
G0122,4140.049
G0132,4140.049
G0531,4140.049
G0544,4140.049
G0570,4140.049
G0643,4140.049
G0650,4140.049
G0806,4140.049
G0033,4140.05
G0042,4140.05
G0085,4140.05
G0122,4140.05
G0132,4140.05
G0531,4140.05
G0544,4140.05
G0570,4140.05
G0643,4140.05
G0651,4140.05
G0806,4140.05
G0008,4140.051
G0033,4140.051
G0037,4140.051
G0042,4140.051
G0544,4140.051
G0570,4140.051
G0806,4140.051
G1104,4140.051
G0008,4140.052
G0033,4140.052
G0037,4140.052
G0042,4140.052
G0207,4140.052
G0544,4140.052
G0570,4140.052
G0806,4140.052
G0008,4140.053
G0033,4140.053
G0042,4140.053
G0210,4140.053
G0544,4140.053
G0570,4140.053
G0806,4140.053
G0008,4140.054
G0033,4140.054
G0037,4140.054
G0042,4140.054
G0082,4140.054
G0122,4140.054
G0132,4140.054
G0207,4140.054
G0531,4140.054
G0544,4140.054
G0570,4140.054
G0643,4140.054
G0649,4140.054
G0806,4140.054
G0004,4140.055
G0033,4140.055
G0039,4140.055
G0042,4140.055
G0091,4140.055
G0122,4140.055
G0132,4140.055
G0211,4140.055
G0531,4140.055
G0544,4140.055
G0570,4140.055
G0646,4140.055
G0806,4140.055
G0008,4140.056
G0033,4140.056
G0042,4140.056
G0061,4140.056
G0083,4140.056
G0122,4140.056
G0132,4140.056
G0210,4140.056
G0531,4140.056
G0544,4140.056
G0570,4140.056
G0643,4140.056
G0652,4140.056
G0806,4140.056
G0008,4140.057
G0033,4140.057
G0042,4140.057
G0544,4140.057
G0570,4140.057
G0652,4140.057
G0806,4140.057
G1107,4140.057
G0544,4140.058
G0570,4140.058
G0806,4140.058
G0042,4140.059
G0544,4140.059
G0570,4140.059
G0806,4140.059
G0006,4140.06
G0013,4140.06
G0042,4140.06
G0132,4140.06
G0367,4140.06
G0544,4140.06
G0570,4140.06
G1100,4140.06
G1102,4140.06
G1108,4140.06
G1131,4140.06
G0006,4140.061
G0014,4140.061
G0042,4140.061
G0132,4140.061
G0386,4140.061
G0544,4140.061
G0570,4140.061
G1101,4140.061
G1103,4140.061
G1109,4140.061
G1131,4140.061
G0008,4140.062
G0033,4140.062
G0037,4140.062
G0042,4140.062
G0082,4140.062
G0122,4140.062
G0132,4140.062
